2026年冬アニメ,,,
作品名,OP/ED,歌手,曲名
青のミブロ—芹沢暗殺編—,OP,Ryosuke Yamada,Blue Noise
青のミブロ—芹沢暗殺編—,ED,崎山蒼志,泡沫
悪魔くん,OP,未定,未定
悪魔くん,ED,未定,未定
悪役令嬢は隣国の王太子に溺愛される,OP,高垣彩陽feat.城田優,愛のファンファーレ
悪役令嬢は隣国の王太子に溺愛される,ED,高垣彩陽feat.城田優,魔法の音
有栖川煉ってホントは女なんだよね。,ED,sammy,僕とのひめゴト
アルネの事件簿,OP,Sou,Q.E.D.
アルネの事件簿,ED,小林私,人形の街
アンデッドアンラック ウィンター編,OP,女王蜂,1
アンデッドアンラック ウィンター編,ED,女王蜂,2
アンドロイドは経験人数に入りますか？？,OP,栗駒こまる（あおぎり高校）,アンドロイドde新時代
違国日記,OP,TOMOO,ソナーレ
違国日記,ED,Bialystocks,言伝
異世界の沙汰は社畜次第,OP,kobore,Magic
異世界の沙汰は社畜次第,ED,MORISAKI WIN（森崎ウィン）,Back to Back
イチゴ哀歌,OP,,
イチゴ哀歌,ED,あかしゆき&乙倉ゅい,
うるわしの宵の月,OP,UNISON SQUARE GARDEN,うるわし
うるわしの宵の月,ED,UNISON SQUARE GARDEN,アザレアの風
MFゴースト(3rd Season),OP,芹澤優,TIMELESS POWER feat. MOTSU
MFゴースト(3rd Season),ED,Himika Akaneya（茜屋日海夏）,予感の途中 Prod. ☆Taku Takahashi (m-flo)
エリスの聖杯,OP,鷲尾伶菜,Happy Ever After feat. 由薫
炎炎ノ消防隊 参ノ章(第2クール),OP,西川貴教,Ignis -イグニス-
炎炎ノ消防隊 参ノ章(第2クール),ED,Survive Said The Prophet,ウルサイレン
お気楽領主の楽しい領地防衛～生産系魔術で名もなき村を最強の城塞都市に～,OP,中島怜,おきらくぜ～しょん
お気楽領主の楽しい領地防衛～生産系魔術で名もなき村を最強の城塞都市に～,ED,大渕野々花,Make it
幼馴染とはラブコメにならない,OP,HoneyWorks meets(水萌汐・火威灯・月見るな・日向春),あいらびゅ♡
幼馴染とはラブコメにならない,ED,小玉ひかり,あまのじゃく
推しの子(第3期),OP,ちゃんみな,TEST ME
推しの子(第3期),ED,なとり,
穏やか貴族の休暇のすすめ。,OP,牧島輝,Gypso
穏やか貴族の休暇のすすめ。,ED,直田姫奈,うっすら
「お前ごときが魔王に勝てると思うな」と勇者パーティを追放されたので、王都で気ままに暮らしたい,OP,PassCode,Liberator
「お前ごときが魔王に勝てると思うな」と勇者パーティを追放されたので、王都で気ままに暮らしたい,ED,田中有紀,I need
お前はまだグンマを知らない～令和版～,OP,,
お前はまだグンマを知らない～令和版～,ED,出口雅之,上毛かるた～令和版
カードファイト!! ヴァンガード Divinez 幻真星戦編,OP,V.W.P,幻界
カードファイト!! ヴァンガード Divinez 幻真星戦編,ED,RealRomantic,Part of the Life
かぐや様は告らせたい 大人への階段,OP,鈴木雅之 feat.古賀葵,アブナイキオク
かぐや様は告らせたい 大人への階段,ED,四宮かぐや(CV.古賀葵),heart notes
#神奈川に住んでるエルフ,OP,,
#神奈川に住んでるエルフ,ED,The Folie Phantom,
カヤちゃんはコワくない,OP,ヰ世界情緒,
カヤちゃんはコワくない,ED,朔雀＆導凰,Playmour feat. カヤちゃん
牙狼＜GARO＞ 東ノ界楼,OP,,
牙狼＜GARO＞ 東ノ界楼,ED,,
貴族転生 ～恵まれた生まれから最強の力を得る～,OP,SUPER★DRAGON,Break off
貴族転生 ～恵まれた生まれから最強の力を得る～,ED,アリーチェ（CV：橘杏咲）,You'll Be In My Heart 〜そばに〜
綺麗にしてもらえますか。,OP,ゆう。,綺麗。
綺麗にしてもらえますか。,ED,清浦夏実,若葉のころ
拷問バイトくんの日常,OP,GRANRODEO,GO GO PARADISE!!
拷問バイトくんの日常,ED,寺島拓篤,明日天気になぁれ
ゴールデンカムイ 最終章,OP,Awich × ALI,黄金の彼方
ゴールデンカムイ 最終章,ED,Ken Yokoyama,The Ballad
最推しの義兄を愛でるため、長生きします！,OP,,
最推しの義兄を愛でるため、長生きします！,ED,蒼井翔太,キミ攻略ゲーム
時光代理人 -LINK CLICK- 英都篇,OP,Gen Kakon,Dive Back In Time
時光代理人 -LINK CLICK- 英都篇,ED,EAERAN,OverThink
地獄先生ぬ～べ～(第2クール),OP,THE ORAL CIGARETTES,ERASE
地獄先生ぬ～べ～(第2クール),ED,Ayumu Imazu,MAGICAL
地獄楽(第二期),OP,キタニタツヤ feat. BABYMETAL,かすかなはな
地獄楽(第二期),ED,ED,PERSONAL
死亡遊戯で飯を食う。,OP,LIN,¬Ersterbend
死亡遊戯で飯を食う。,ED,藤川千愛,祈り
シャンピニオンの魔女,OP,ロス,魔法使いの日記
シャンピニオンの魔女,ED,Ms.OOJA,君は
終末のワルキューレⅢ,OP,GLAY,Dead Or Alive
終末のワルキューレⅢ,ED,早見沙織,"Last breath, Last record"
呪術廻戦(死滅回游 前編),OP,King Gnu,AIZO
呪術廻戦(死滅回游 前編),ED,jo0ji,よあけのうた
人外教室の人間嫌い教師,OP,オーイシマサヨシ,ニンゲン
人外教室の人間嫌い教師,ED,水月鏡花(CV：雨宮天)、尾々守一咲(CV：大西沙織)、右左美彗(CV：長縄まりあ)、羽根田トバリ(CV.田辺留依),人間カムトゥルー！
聖女なのに国を追い出されたので、崩壊寸前の隣国へ来ました シーズン2,OP,小岩井ことり,
聖女なのに国を追い出されたので、崩壊寸前の隣国へ来ました シーズン2,ED,,
正反対な君と僕,OP,乃紫,メガネを外して
正反対な君と僕,ED,ピュア feat. 橋本絵莉子,
葬送のフリーレン(第2期),OP,Mrs. GREEN APPLE,lulu.
葬送のフリーレン(第2期),ED,milet,未定
ダーウィン事変,OP,Official髭男dism,Make Me Wonder
ダーウィン事変,ED,a子,Turn It Up
DARK MOON　-黒の月: 月の祭壇-,OP,ENHYPEN,One In A Billion (Japanese Ver.)
DARK MOON　-黒の月: 月の祭壇-,ED,ENHYPEN,CRIMINAL LOVE
DARK MOON　-黒の月: 月の祭壇-,ED,ENHYPEN,Fatal Trouble
多聞くん今どっち！？,OP,F/ACE,Sweet Magic
多聞くん今どっち！？,ED,F/ACE,花と夢
デッドアカウント,OP,五十嵐ハル,デッドエンド
デッドアカウント,ED,金子みゆ,来世はどうせ
Duel Masters LOST ～忘却の太陽～,OP,月詠み,ナラティブ
Duel Masters LOST ～忘却の太陽～,ED,ニイカ(CV:菱川花菜),カンターレ
転生したらドラゴンの卵だった,OP,Sizuk,Gliding Claw
転生したらドラゴンの卵だった,ED,導凰 & 朔雀,Sky Clipper
どうせ、恋してしまうんだ。 Season2,OP,ME:I,LとR
どうせ、恋してしまうんだ。 Season2,ED,berry meet,初恋
透明男と人間女～そのうち夫婦になるふたり～,OP,阿部真央,Ding-dong
透明男と人間女～そのうち夫婦になるふたり～,ED,石原夏織,星眼鏡
TRIGUN STARGAZE,OP,ano,ピカレスクヒーロー
TRIGUN STARGAZE,ED,FOMARE,スターダスト
29歳独身中堅冒険者の日常,OP,HoneyWorks feat.Hanon,君が灯してくれた光を今
29歳独身中堅冒険者の日常,ED,HoneyWorks feat.Kotoha（ハコニワリリィ）,君の隣は空気が美味しい
ハイスクール！奇面組,OP,BREIMEN,ファンキースパイス feat.TOMOO
ハイスクール！奇面組,ED,離婚伝説,ステキッ！！
花ざかりの君たちへ,OP,YOASOBI,アドレナ
花ざかりの君たちへ,ED,YOASOBI,BABY
