部屋主,取得日,順番,曲名（ファイル名）,作品名,歌手名,歌った人,コメント
芝ちゃん部屋,2026/07/13,92,ピースサイン【公式アニメMV】,僕のヒーローアカデミア,米津玄師,wako,
芝ちゃん部屋,2026/07/13,91,【ばっどがーる4パート分け】／彼女のModern／天狼群／On-Off,,,ぱにょ,
芝ちゃん部屋,2026/07/13,90,初代GTOドラマ 反町隆史「POISON」(On-Off),,,るえ,
芝ちゃん部屋,2026/07/13,89,ごはん食べヨ,野原ひろし 昼メシの流儀 Op,Mega Shinnosuke,芝ちゃん,
芝ちゃん部屋,2026/07/13,88,らしさ【公式アニメMV】,ひゃくえむ。,Official髭男dism,れい,
芝ちゃん部屋,2026/07/13,87,贅沢な匙,とんでもスキルで異世界放浪メシ OP,Van de Shop,wako,
芝ちゃん部屋,2026/07/13,86,劇場アニメ_HELLO WORLD 主題歌_イエスタデイ_Official髭男dism_2CH,,,ぱにょ,
芝ちゃん部屋,2026/07/13,85,Dang Dang 気になる,美味しんぼ OP2,中村由真,るえ,
芝ちゃん部屋,2026/07/13,84,はかりたい好感度【プレミアム版最終話反映】,茉莉花ちゃんの好感度はぶっ壊れている Tm,千歳茉莉花(CV内田真礼),芝ちゃん,
芝ちゃん部屋,2026/07/13,83,東京リベンジャーズ OP_Cry Baby_Official髭男dism_2CH,,,れい,
芝ちゃん部屋,2026/07/13,82,1/3の純情な感情,るろうに剣心-明治剣客浪漫譚- ED 6,SIAM SHADE,wako,
芝ちゃん部屋,2026/07/13,81,シュガーソングとビターステップ,血界戦線 ED,UNISON SQUARE GARDEN,ぱにょ,
芝ちゃん部屋,2026/07/13,80,曖昧さ、幸福論,令和のデ・ジ・キャラット OP,奥井雅美,るえ,
芝ちゃん部屋,2026/07/13,79,タンタンターン!【パート分け有】,きらりん☆レボリューション Op,MilkyWay,芝ちゃん,
芝ちゃん部屋,2026/07/13,78,[ED]やさしさに包まれたなら,魔女の宅急便,荒井由美,れい,
crom部屋,2026/07/12,92,【けいおん！】Cagayake! GIRLS(HQver),,,オメガ,
crom部屋,2026/07/12,91,【落第賢者の学院無双～二度目の転生、Sランクチート魔術師冒険録～】憧憬／TrySail(vc-on)※パート分け,,,ゆーき,アニサマセトリ③
crom部屋,2026/07/12,90,コードギアス 反逆のルルーシュ ED_モザイクカケラ_SunSet Swish_2CH,,,みな,
crom部屋,2026/07/12,89,【劇場版 魔法少女まどか☆マギカ新編叛逆の物語】[主題歌]／カラフル／ClariS／On-Off,,,crom,他の人が作ってるので、ハモリ対応字幕ではないとおもうので適当に^^ 1940で終了
crom部屋,2026/07/12,88,【城下町のダンデライオン】Honey Come!!／小倉唯,,,オメガ,
crom部屋,2026/07/12,87,【乙女怪獣キャラメリゼ】オトメノホンキ(パート分け)／HoneyWorks feat.ハコニワリリィ[on-cut] キー変更：-2,,,ゆーき,アニサマセトリ②
crom部屋,2026/07/12,86,【劇場版 魔法少女まどか☆マギカ】ルミナス／ClariS(on-cut-chorusMDX-HP)※OP[2パート]crm,,,みな,
crom部屋,2026/07/12,85,ユリーカ【2ch off-on】(G) -スキマスイッチ -宇宙兄弟,,,crom,
crom部屋,2026/07/12,84,【じょしらく】お後がよろしくって…よ!（Ver3）（パート分け） ／極♨落女会［on-off］,,,オメガ,
crom部屋,2026/07/12,83,【男女の友情は成立する？（いや、しないっ!!）】[OP]質問、恋って何でしょうか？（パート分け）／HoneyWorks feat.ハコニワリリィ〔On-Off〕 キー変更：-2,,,ゆーき,アニサマセトリ
crom部屋,2026/07/12,82,キミと××××したいだけ(cut&コーラス入-on)_パート分け ／ 月ノ美兎× 宝鐘マリン× 壱百満天原サロメ× 周央サンゴ× 沙花叉クロヱ_けんちぃ_753,,,みな,
crom部屋,2026/07/12,81,【げんしけん二代目】アオくユレている【on Vocal】,,,ぱにゃ,
けんちぃ部屋,2026/07/12,80,StarryRain,アステリズム 第2章OP,みとせのりこ,レイフ,よろしくお願いします
crom部屋,2026/07/12,80,[セントールの悩み] 亜咲花 - Edelweiss,,,crom,
