id,歌唱者,作品名,歌手,曲名,パート分け,練習中,要復習,非公開
1,月見ヤチヨ,Orbit,yuigot,Remember,,,,
2,月見ヤチヨ,Orbit,Aqu3ra,星降る海,,,,
3,V.A.,Compilation,Unknown,私は、わたしの事が好き。,,,,
1777465750795.25,あきらん,,,超かぐや姫!,,,,
1777465750795.9346,あきらん,,,SI-VIS,,,,
1777465750795.8909,あきらん,呪術廻戦,King Gnu,AIZO,1,,,
1777465750795.4692,あきらん,機動戦士ガンダム 閃光のハサウェイ キルケーの魔女,"川上洋平, SennaRin",ENDROLL,1,,,
1777465750795.0645,超かぐや姫!,,,超かぐや姫!,,,,
1777465750795.045,あきらん,推しの子,B小町,Bのリベンジ,1,,,
1777465750795.2102,超かぐや姫!,超かぐや姫!,月見ヤチヨ(早見沙織),Remember,,,,
1777465750795.4426,超かぐや姫!,超かぐや姫!,月見ヤチヨ(早見沙織),星降る海,,,,
1777465750795.8408,超かぐや姫!,超かぐや姫!,かぐや(夏吉ゆうこ),私は、わたしの事が好き。,,,,
1777465750795.4285,超かぐや姫!,超かぐや姫!,月見ヤチヨ(早見沙織)&かぐや(夏吉ゆうこ),Ex-Otogibanashi,1,,,
1777465750795.454,超かぐや姫!,超かぐや姫!,かぐや(夏吉ゆうこ),瞬間、シンフォニー。,,,,
1777465750795.15,超かぐや姫!,超かぐや姫!,かぐや(夏吉ゆうこ),Reply,,,,
1777465750795.162,あきらん,JELEE,JELEE,JOURNEE,,,,
1777465750795.5479,あきらん,クレバテス-魔獣の王と赤子と屍の勇者-,前島麻由,Ruler,,,,
1777465750795.9062,あきらん,推しの子,なとり,セレナーデ,,,,
1777465750795.1711,あきらん,最後にひとつだけお願いしてもよろしいでしょうか,CHiCO with HoneyWorks,戦場の華,,,,
1777465750795.6804,あきらん,プリンセッション・オーケストラ,オルケリア,QUINTET PULSE,1,,,
1777465750795.3062,あきらん,マクロスΔ,Yami_Q_ray,Diva in Abyss,1,,,
1777465750796.4067,あきらん,Fate/strange Fake,13.3g,潜在的なアイ,,,,
1777465750796.546,あきらん,Summer Pockets,鈴木このみ,アルカテイル,,,,
1777465750796.7375,あきらん,ゼロから始める異世界生活,鈴木このみ,Redo,,,,
1777465750796.3918,あきらん,わたしが恋人になれるわけないじゃん、ムリムリ!(※ムリじゃなかった！？) ～ネクストシャイン！～,クインテット,ディア・マイ・スペシャル・プレシャス・マーベラス・スウィート・ダーリンズ,1,,,
1777465750796.8594,超かぐや姫!,超かぐや姫!,月見ヤチヨ(早見沙織)&かぐや(夏吉ゆうこ),ray,1,,,
1777465750796.414,成田,,,Bのリベンジ,1,,,
1777465750796.3257,成田,,,潜在的なアイ,,1,,
1777465750796.193,あきらん,ゼロから始める異世界生活,鈴木このみ,Realize,,,,
1777465750796.7344,あきらん,ゼロから始める異世界生活,鈴木このみ,Reweave,,,,
1777465750796.957,あきらん,勇者パーティを追い出された器用貧乏,常闇トワ,シルベ,,,,
1777465750796.2935,あきらん,超かぐや姫!,月見ヤチヨ(早見沙織),Remember,,,,
1777465750796.2397,あきらん,超かぐや姫!,月見ヤチヨ(早見沙織),星降る海,,,,
1777465750796.2605,あきらん,超かぐや姫!,かぐや(夏吉ゆうこ),私は わたしの事が好き。,,,,
1777465750796.1926,あきらん,超かぐや姫!,月見ヤチヨ(早見沙織)&かぐや(夏吉ゆうこ),Ex-Otogibanashi,1,,,
1777465750796.191,あきらん,超かぐや姫!,かぐや(夏吉ゆうこ),瞬間 シンフォニー。,,,,
1777465750796.0396,あきらん,超かぐや姫!,かぐや(夏吉ゆうこ),Reply,,,,
1777465750796.3137,あきらん,超かぐや姫!,月見ヤチヨ(早見沙織)&かぐや(夏吉ゆうこ),ray,1,,,
1777465750796.6152,あきらん,超かぐや姫!,月見ヤチヨ(早見沙織)&かぐや(夏吉ゆうこ),ワールドイズマイン,1,,,
1777465750796.629,あきらん,アルネの事件簿,Sou,Q.E.D.,,,,
1777465750796.9924,あきらん,うるわしの宵の月,UNISON SQUARE GARDEN,うるわし,,,,
1777465750796.3135,あきらん,うるわしの宵の月,UNISON SQUARE GARDEN,アザレアの風,,,,
1777465750796.0913,あきらん,MFゴースト,芹澤優,TIMELESS POWER(feat. MOTSU),1,,,
1777465750796.8484,あきらん,エリスの聖杯,鷲尾伶菜,Happy Ever After feat. 由薫,,,,
1777465750796.2412,あきらん,幼馴染とはラブコメにならない,HoneyWorks meets(水萌汐・火威灯・月見るな・日向春),あいらびゅ♡,1,,,
1777465750796.3765,あきらん,推しの子,ちゃんみな,TEST ME,,,,
1777465750796.111,あきらん,かぐや様は告らせたい 大人への階段,鈴木雅之 feat.古賀葵,アブナイキオク,1,,,
1777465750796.524,あきらん,カヤちゃんはコワくない,朔雀＆導凰,Playmour(feat. カヤちゃん),,1,,
1777465750796.7827,あきらん,地獄先生ぬ～べ～,THE ORAL CIGARETTES,ERASE,,,,
1777465750796.7788,あきらん,地獄先生ぬ～べ～,Ayumu Imazu,MAGICAL,,1,,
1777465750796.007,あきらん,地獄楽,キタニタツヤ feat. BABYMETAL,かすかなはな,1,,,
1777465750796.3333,あきらん,呪術廻戦,jo0ji,よあけのうた,,1,,
1777465750796.9778,あきらん,葬送のフリーレン,Mrs. GREEN APPLE,lulu.,,,,
1777465750796.002,あきらん,ダーウィン事変,Official髭男dism,Make Me Wonder,,,,
1777465750796.9421,あきらん,多聞くん今どっち！？,F/ACE,Sweet Magic,1,,,
1777465750796.7915,あきらん,多聞くん今どっち！？,F/ACE,花と夢,1,1,,
1777465750796.4158,あきらん,花ざかりの君たちへ,YOASOBI,アドレナ,,,,
1777465750796.1282,あきらん,花ざかりの君たちへ,YOASOBI,BABY,,,,
1777465750796.4482,あきらん,ヴィジランテ -僕のヒーローアカデミア ILLEGALS-（第2期）,すりぃ,CATCH!!!,,,,
1777465750796.9136,あきらん,ヴィジランテ -僕のヒーローアカデミア ILLEGALS-（第2期）,シャイトープ,ミス・ユー,,1,,
1777465750796.0095,あきらん,魔王の娘は優しすぎる!!,ジャヒー（CV.大橋彩香） ドゥ（CV.久野美咲） アーリマン（CV.大塚明夫）,いっこにこにこ,1,,,
1777465750796.5378,あきらん,真夜中ハートチューン,星街すいせい,月に向かって撃て,,,,
1777465750796.9116,あきらん,真夜中ハートチューン,Soala,声の軌跡,,,,
1777465750797.876,あきらん,メダリスト,HANA,Cold Night,,,,
1777465750797.3684,あきらん,メダリスト,Conton Candy,Rookies,,1,,
1777465750797.6719,あきらん,勇者刑に処す(懲罰勇者9004隊刑務記録),SPYAIR,Kill the Noise,,,,
1777465750797.2612,あきらん,勇者パーティーにかわいい子がいたので 告白してみた。,吉乃,Lavish!!,,,,
1777465750797.1008,あきらん,SI-VIS,SI-VIS,スーパーノヴァ,1,,,
1777465750797.2407,あきらん,SI-VIS,SI-VIS,Singing Over,1,,,
